Site,Latitude,Longitude,Time,Type,Protocol,Latency,Average Latency,Total Latency,Forecast max,Forecast min,Confidence Level,Volatility
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,HTTP,79.93,59.43,62.17,83.84,75.76,97.01,0.72
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,HTTPS,86.6,59.43,62.17,91.56,81.76,97.98,0.89
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,TCP,59.43,59.43,62.17,62.87,56,95.57,0.36
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,ICMP,38.12,59.43,62.17,39.84,36.11,98.07,0.35
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,TWAMP,61.67,59.43,62.17,64.69,57.95,97.86,0.83
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,UDP,30.83,59.43,62.17,31.69,30.09,98,0.55
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,HTTP,74.98,64.9,62.17,79.25,71.29,99.05,0.37
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,HTTPS,95.38,64.9,62.17,100.78,90.47,99.14,0.69
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,TCP,83.6,64.9,62.17,87.69,79.97,99.2,0.03
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,ICMP,44.48,64.9,62.17,46.7,41.59,98.23,0.98
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,TWAMP,63.47,64.9,62.17,66.8,59.63,99.57,0.38
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,UDP,27.5,64.9,62.17,28.84,25.33,98.94,0.43
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,HTTP,69.38,61.84,61.93,72.22,66.14,95.67,0.2
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,HTTPS,91.41,61.84,61.93,96.17,86.51,97.66,0.6
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,TCP,67.49,61.84,61.93,70.44,64.14,95.32,0.08
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,ICMP,60.7,61.84,61.93,63.32,57.27,95.94,0.57
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,TWAMP,57.7,61.84,61.93,60.16,54.46,96.86,0.35
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,UDP,24.35,61.84,61.93,25.09,23.38,99.77,0.79
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,HTTP,78.5,62.03,61.93,82.84,74.53,95.64,0.65
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,HTTPS,83.47,62.03,61.93,87.82,79,96.73,0.73
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,TCP,59.14,62.03,61.93,61.3,56.83,99.26,0.76
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,ICMP,48.53,62.03,61.93,50.88,45.59,95,0.55
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,TWAMP,54.83,62.03,61.93,57.84,51.68,97.89,0.39
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,UDP,47.69,62.03,61.93,49.85,45.81,98.94,0.32
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,HTTP,73.32,69.73,69.08,77.47,69.84,96.34,0.43
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,HTTPS,94.41,69.73,69.08,99.54,89.59,95.47,0.51
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,TCP,76.87,69.73,69.08,80.29,72.55,95.17,0.17
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,ICMP,43.58,69.73,69.08,46.37,41.4,95.08,0.77
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,TWAMP,73.28,69.73,69.08,76.25,68.89,96.31,0.11
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,UDP,56.95,69.73,69.08,59.03,53.89,95.57,0.98
